
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40633 BRAN, Anul 1991, Numar persoane, 73
Brasov, 40633 BRAN, Anul 1992, Numar persoane, 72
Brasov, 40633 BRAN, Anul 1993, Numar persoane, 61
Brasov, 40633 BRAN, Anul 1994, Numar persoane, 72
Brasov, 40633 BRAN, Anul 1995, Numar persoane, 79
Brasov, 40633 BRAN, Anul 1996, Numar persoane, 68
Brasov, 40633 BRAN, Anul 1997, Numar persoane, 56
Brasov, 40633 BRAN, Anul 1998, Numar persoane, 61
Brasov, 40633 BRAN, Anul 1999, Numar persoane, 61
Brasov, 40633 BRAN, Anul 2000, Numar persoane, 66
Brasov, 40633 BRAN, Anul 2001, Numar persoane, 58
