
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2001, Lei, 4574135
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2002, Lei, 5813191
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2003, Lei, 7194504
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2004, Lei, 8822657
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2005, Lei, 1279
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2006, Lei, 1243
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2007, Lei, 1494
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2008, Lei, 2105
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1991, Lei, 9071
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1992, Lei, 32174
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1993, Lei, 96566
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1994, Lei, 225484
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1995, Lei, 314486
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1996, Lei, 479135
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1997, Lei, 1057189
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1998, Lei, 1894695
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 1999, Lei, 2362634
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2000, Lei, 3413049
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2001, Lei, 4653622
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2002, Lei, 5889010
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2003, Lei, 7352365
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2004, Lei, 9399018
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2005, Lei, 1149
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2006, Lei, 1506
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2007, Lei, 1670
E Energie electrica si termica  gaze si apa, Total, Brasov, Anul 2008, Lei, 1870
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1991, Lei, 10112
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1992, Lei, 27869
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1993, Lei, 80360
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1994, Lei, 182003
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1995, Lei, 256685
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1996, Lei, 350231
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1997, Lei, 820878
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1998, Lei, 1499334
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 1999, Lei, 2116172
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2000, Lei, 2835264
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2001, Lei, 3830440
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2002, Lei, 4855728
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2003, Lei, 6266996
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2004, Lei, 6792548
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2005, Lei, 731
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2006, Lei, 841
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2007, Lei, 986
E Energie electrica si termica  gaze si apa, Total, Covasna, Anul 2008, Lei, 1346
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1991, Lei, 7323
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1992, Lei, 22213
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1993, Lei, 80435
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1994, Lei, 174722
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1995, Lei, 261629
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1996, Lei, 373097
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1997, Lei, 852312
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1998, Lei, 1458073
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 1999, Lei, 1949276
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2000, Lei, 2684489
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2001, Lei, 3727529
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2002, Lei, 4533810
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2003, Lei, 6012767
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2004, Lei, 6824716
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2005, Lei, 836
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2006, Lei, 1023
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2007, Lei, 1163
E Energie electrica si termica  gaze si apa, Total, Harghita, Anul 2008, Lei, 1460
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1991, Lei, 9455
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1992, Lei, 30466
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1993, Lei, 88821
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1994, Lei, 223800
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1995, Lei, 313068
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1996, Lei, 435861
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1997, Lei, 1004844
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1998, Lei, 1825579
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 1999, Lei, 2372036
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2000, Lei, 3266919
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2001, Lei, 4477906
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2002, Lei, 5860879
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2003, Lei, 7735111
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2004, Lei, 9123950
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2005, Lei, 1361
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2006, Lei, 1479
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2007, Lei, 1726
E Energie electrica si termica  gaze si apa, Total, Mures, Anul 2008, Lei, 2295
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1991, Lei, 9073
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1992, Lei, 32428
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1993, Lei, 91445
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1994, Lei, 219650
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1995, Lei, 290314
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1996, Lei, 419891
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1997, Lei, 957151
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1998, Lei, 1638552
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 1999, Lei, 2092110
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2000, Lei, 3049721
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2001, Lei, 4171217
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2002, Lei, 5265274
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2003, Lei, 7081551
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2004, Lei, 8759074
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2005, Lei, 1123
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2006, Lei, 1400
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2007, Lei, 1534
E Energie electrica si termica  gaze si apa, Total, Sibiu, Anul 2008, Lei, 1887
E Energie electrica si termica  gaze si apa, Total, MACROREGIUNEA DOI, Anul 2008, Lei, 2022
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1991, Lei, 10075
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1992, Lei, 30646
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1993, Lei, 95957
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1994, Lei, 228045
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1995, Lei, 311476
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1996, Lei, 450270
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1997, Lei, 1003959
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1998, Lei, 1762416
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 1999, Lei, 2311165
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2000, Lei, 3264081
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2001, Lei, 4719780
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2002, Lei, 5584028
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2003, Lei, 7357304
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2004, Lei, 8843510
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2005, Lei, 1089
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2006, Lei, 1232
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2007, Lei, 1560
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-EST, Anul 2008, Lei, 1994
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1991, Lei, 11707
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1992, Lei, 34478
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1993, Lei, 109290
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1994, Lei, 260177
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1995, Lei, 346864
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1996, Lei, 498428
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1997, Lei, 1162834
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1998, Lei, 2008849
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 1999, Lei, 2565962
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2000, Lei, 3594203
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2001, Lei, 5302882
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2002, Lei, 5729720
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2003, Lei, 7958503
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2004, Lei, 9311345
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2005, Lei, 1121
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2006, Lei, 1302
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2007, Lei, 1586
E Energie electrica si termica  gaze si apa, Total, Bacau, Anul 2008, Lei, 1889
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1991, Lei, 8998
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1992, Lei, 28710
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1993, Lei, 83836
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1994, Lei, 215726
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1995, Lei, 277148
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1996, Lei, 430605
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1997, Lei, 891498
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1998, Lei, 1508362
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 1999, Lei, 2221345
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2000, Lei, 3104096
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2001, Lei, 4199050
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2002, Lei, 5103052
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2003, Lei, 6692452
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2004, Lei, 7591595
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2005, Lei, 1025
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2006, Lei, 1262
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2007, Lei, 1472
E Energie electrica si termica  gaze si apa, Total, Botosani, Anul 2008, Lei, 1805
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1991, Lei, 9815
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1992, Lei, 29688
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1993, Lei, 94233
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1994, Lei, 224743
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1995, Lei, 303942
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1996, Lei, 447485
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1997, Lei, 992912
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1998, Lei, 1709449
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 1999, Lei, 2309665
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2000, Lei, 3178902
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2001, Lei, 4748059
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2002, Lei, 5783251
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2003, Lei, 7758980
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2004, Lei, 8801266
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2005, Lei, 1242
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2006, Lei, 1330
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2007, Lei, 1607
E Energie electrica si termica  gaze si apa, Total, Iasi, Anul 2008, Lei, 2147
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1991, Lei, 8481
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1992, Lei, 27800
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1993, Lei, 82481
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1994, Lei, 194408
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1995, Lei, 274918
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1996, Lei, 395165
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1997, Lei, 877529
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1998, Lei, 1558519
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 1999, Lei, 2086446
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2000, Lei, 3162701
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2001, Lei, 4344172
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2002, Lei, 5508150
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2003, Lei, 6856203
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2004, Lei, 8797593
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2005, Lei, 1084
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2006, Lei, 1245
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2007, Lei, 1672
E Energie electrica si termica  gaze si apa, Total, Neamt, Anul 2008, Lei, 2133
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1991, Lei, 10728
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1992, Lei, 32267
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1993, Lei, 101986
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1994, Lei, 246667
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1995, Lei, 340857
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1996, Lei, 482890
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1997, Lei, 1063001
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1998, Lei, 1892554
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 1999, Lei, 2439182
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2000, Lei, 3438137
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2001, Lei, 5024245
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2002, Lei, 6017931
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2003, Lei, 7922191
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2004, Lei, 10022346
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2005, Lei, 994
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2006, Lei, 1137
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2007, Lei, 1588
E Energie electrica si termica  gaze si apa, Total, Suceava, Anul 2008, Lei, 2190
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1991, Lei, 9084
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1992, Lei, 25853
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1993, Lei, 83820
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1994, Lei, 185616
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1995, Lei, 271003
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1996, Lei, 379165
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1997, Lei, 849767
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1998, Lei, 1576803
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 1999, Lei, 1880685
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 2000, Lei, 2676548
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 2001, Lei, 3770224
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 2002, Lei, 4597586
E Energie electrica si termica  gaze si apa, Total, Vaslui, Anul 2003, Lei, 5397640
